rank,mlb_player_id,full_name,player_type,current_age,age_tier,primary_position,current_team,highest_level,pred_mlb_wrc_plus,combined_age_factor,prospect_value_score
1410,672692,Jose Peroza,Hitter,25.31416837782341,Older Prospect,3B,0,AAA,89.04457831325301,0.3118032457069165,40.86335735239061
1411,815081,Mark Manfredi,Pitcher,25.694729637234772,Older Prospect,P,0,AA,133.20678212203651,0.28594271369174296,40.85876840716104
1412,694742,Josh Moylan,Hitter,23.266255989048595,Standard Prospect,1B,0,A+,84.32700729927006,0.43665999699012614,40.79287503819639
1413,701655,Reed Trimble,Hitter,25.338809034907598,Older Prospect,OF,0,AAA,88.62769230769231,0.307710419352368,40.75326013643327
1414,805346,Ben Ross,Hitter,24.33949349760438,Standard Prospect,SS,0,AA,84.38222222222223,0.36577303258489124,40.71464121165994
1415,681941,Jaylen Palmer,Hitter,25.188227241615333,Older Prospect,SS,0,AAA,86.8701929060361,0.3335299942599888,40.63722619238333
1416,678837,Bladimir Restituyo,Hitter,24.268309377138944,Standard Prospect,SS,0,AA,82.71111111111111,0.380571619366287,40.59054123480159
1417,676907,Billy Sullivan,Pitcher,26.480492813141684,Older Prospect,P,0,AAA,95.17177830254202,0.29111307356855876,40.5731661515087
1418,695467,Juan Montero,Hitter,23.329226557152634,Standard Prospect,C,0,AA,85.67123287671232,0.6354009715704452,40.41450220749281
1419,828506,Joey Danielson,Pitcher,24.739219712525667,Standard Prospect,P,0,AA,92.54214843276525,0.4795408649568333,40.363153860771185
1420,681198,T.J. Rumfield,Hitter,25.39356605065024,Older Prospect,1B,0,AAA,89.74994124559342,0.2987944364869828,40.300171943803065
1421,699269,Rafael Cruz,Hitter,21.90280629705681,Premium Prospect,SS,0,A,78.96387368421053,0.75063750777966,40.25779297414599
1422,701661,Cristian Garcia,Hitter,21.201916495550993,Premium Prospect,3B,0,A,80.8804,1.114360181963899,40.2204666528609
1423,686763,Gunner Mayer,Pitcher,25.19917864476386,Older Prospect,P,0,AA,79.2900629936508,0.3753217884503819,40.21214428790682
1424,696263,Tyler Thornton,Pitcher,25.251197809719372,Older Prospect,P,0,AA,81.84386932344762,0.36490814563367663,40.15300879841732
1425,802219,Woody Hadeen,Hitter,23.23066392881588,Standard Prospect,SS,0,A+,84.8463768115942,0.4455928709249246,40.10190300957814
1426,670869,Livan Soto,Hitter,25.295003422313485,Older Prospect,SS,0,AAA,89.06879271070615,0.3150217071498259,40.09972166276481
1427,674384,Eduarniel Núñez,Pitcher,26.338124572210816,Older Prospect,P,0,AAA,88.69040470222146,0.3133468348366004,40.09334905691706
1428,681066,Ky Bush,Pitcher,25.905544147843944,Older Prospect,P,0,AAA,73.81517722571112,0.39069324828000807,40.08429151737941
1429,696264,Tyler Whitaker,Hitter,23.184120465434635,Standard Prospect,OF,0,A+,82.14634146341463,0.45752584339851676,40.02775982912879
1430,675394,Johnny Olmstead,Hitter,25.245722108145106,Older Prospect,3B,0,AAA,86.4657381615599,0.3234411120024661,40.02541961254158
1431,703611,Maximus Martin,Hitter,22.026009582477755,Premium Prospect,SS,0,A+,85.73333333333332,0.8678650774220371,40.02501486742961
1432,808571,D'Angelo Ortiz,Hitter,21.245722108145106,Premium Prospect,3B,0,A,81.47200000000001,1.087584338402311,40.01746468660453
1433,683149,Julian Brock,Hitter,24.347707049965777,Standard Prospect,C,0,AA,84.54679943100996,0.36410001919524076,40.01739083348387
1434,700369,Adrian De Leon,Hitter,21.661875427789184,Premium Prospect,C,0,A,83.07114093959731,0.8611299658992367,39.94548663464458
1435,702391,Demetrio Nadal,Hitter,21.26488706365503,Premium Prospect,OF,0,A,82.88210526315788,1.076057427536815,39.93303784981917
1436,703861,Victor Ortega,Hitter,21.71937029431896,Premium Prospect,C,0,A,82.81800643086817,0.8334940209612965,39.90637230703013
1437,682090,Gionti Turner,Hitter,25.141683778234086,Older Prospect,SS,0,AAA,85.49518987341773,0.34191240685118374,39.901497286313216
1438,815152,Theo Hardy,Hitter,23.863107460643395,Standard Prospect,SS,0,AAA,87.63408071748879,0.6670817947792328,39.89833564684052
1439,703676,Ethan Frey,Hitter,21.56605065023956,Premium Prospect,OF,0,A,85.32459016393443,0.9090566501899151,39.88193326450411
1440,702471,Hunter Dula,Pitcher,26.587268993839835,Fringe Prospect,P,0,AAA,99.31598634294387,0.27538393638627146,39.87775083146566
1441,676191,John Swanda,Pitcher,26.559890485968516,Fringe Prospect,P,0,AAA,97.02152575812937,0.27934223382882367,39.857557284376604
1442,701121,Logan VanWey,Pitcher,26.647501711156742,Fringe Prospect,P,0,AAA,101.863670944088,0.26685287736471547,39.85190421819669
1443,694266,D'Andre Smith,Hitter,24.413415468856947,Standard Prospect,SS,0,AA,85.2721387283237,0.3509669935213454,39.8173784018243
1444,811312,Justin Riemer,Hitter,23.668720054757017,Standard Prospect,SS,0,AA,93.93552475247526,0.5290514011928169,39.74314365277152
1445,681323,Alex Binelas,Hitter,25.36892539356605,Older Prospect,1B,0,AAA,88.70604930046636,0.3027763114310359,39.65895372603315
1446,690988,Austin Hendrick,Hitter,24.314852840520192,Standard Prospect,OF,0,AA,82.96929089893914,0.3708345954071732,39.651296693907426
1447,700170,Felix Tena,Hitter,22.031485284052017,Premium Prospect,CF,0,A,80.24978165938865,0.5808842935633243,39.650570962628265
1448,686769,Dane Acker,Pitcher,26.521560574948666,Fringe Prospect,P,0,AAA,96.09171774592188,0.28497000589160837,39.64795169068186
1449,686463,Thomas Schultz,Pitcher,26.182067077344286,Older Prospect,P,0,AAA,82.32469554455444,0.3394768221428929,39.63373560595001
1450,691263,Esmerlin Vinicio,Pitcher,22.68583162217659,Premium Prospect,P,0,A+,40.0,0.9097012278491734,39.54752550691459
1451,826538,Aidan Foeller,Pitcher,23.537303216974674,Standard Prospect,P,0,A+,60.032388243576186,0.5829877832892316,39.52388635014459
1452,680893,Hueston Morrill,Pitcher,25.864476386036962,Older Prospect,P,0,AA,108.40182970342912,0.2599346527614603,39.46568868125041
1453,673820,Robinson Piña,Pitcher,26.86652977412731,Fringe Prospect,P,0,AAA,110.86593228655543,0.23779433434259337,39.39865710537404
1454,702472,Austin Callahan,Hitter,24.33949349760438,Standard Prospect,3B,0,AA,83.55088852988692,0.36577303258489124,39.386938410946556
