mlb_player_id,debut_season,mlb_games
663330,2021,138
594838,2021,138
676480,2021,137
621453,2021,136
682663,2025,136
681460,2024,136
678877,2024,136
702332,2025,136
641505,2021,135
677942,2024,135
641511,2022,134
701358,2025,134
664057,2021,134
691594,2024,133
681393,2024,133
501571,2021,132
660294,2021,131
694497,2023,131
666165,2023,129
687952,2023,128
608700,2021,127
807713,2025,126
543105,2021,124
686948,2025,124
665966,2024,124
669234,2024,123
595956,2021,122
641914,2021,122
805367,2025,122
694388,2024,122
600474,2021,121
669450,2022,119
689414,2025,119
594694,2021,119
640449,2021,118
681584,2022,118
663968,2025,118
656448,2022,118
605421,2021,118
592348,2021,118
701762,2025,117
641470,2021,116
686611,2024,116
675656,2021,116
444876,2021,115
572039,2021,114
571875,2021,114
681987,2022,113
677588,2023,112
455139,2021,112
666150,2023,112
571740,2021,111
700337,2025,111
546991,2021,111
656248,2022,111
591720,2021,111
682668,2024,109
608686,2021,109
669352,2022,109
802415,2025,109
672744,2023,108
613564,2021,107
570256,2021,107
677008,2023,106
457708,2021,106
608577,2021,105
621446,2021,105
672478,2022,105
670768,2021,104
520471,2021,104
691723,2024,102
661531,2022,101
595453,2021,101
660636,2022,101
695336,2024,100
642215,2023,100
606213,2021,99
687231,2024,99
650331,2021,98
624513,2021,97
642721,2021,97
656371,2021,97
678894,2022,96
665877,2023,96
608703,2022,95
658069,2021,95
687093,2022,95
553902,2021,93
666198,2021,92
605353,2021,92
660844,2024,91
695734,2025,91
683083,2024,90
642162,2021,90
657061,2021,90
656185,2021,90
673451,2021,88
669087,2022,88
693049,2023,88
650968,2021,88
570481,2021,87
681715,2025,87
501659,2021,87
677595,2023,87
621311,2021,86
810938,2025,85
444489,2021,84
605244,2021,84
664731,2021,83
670351,2021,83
664314,2021,83
675961,2023,83
650907,2022,82
656252,2021,82
595284,2021,81
677870,2024,81
680577,2024,80
677347,2023,80
665561,2021,79
519222,2021,79
663604,2024,79
695238,2024,79
670224,2024,79
691019,2025,78
702284,2025,77
666464,2022,77
571788,2021,76
621450,2021,76
595943,2021,76
688363,2024,75
682848,2023,75
622666,2021,75
621458,2021,75
664670,2021,74
683766,2025,74
657612,2021,73
663609,2023,73
691781,2025,73
670231,2025,72
596451,2021,72
676632,2022,72
695657,2025,71
668751,2022,71
650893,2021,71
701350,2025,71
595014,2021,70
690987,2025,70
660620,2021,70
641786,2021,70
656847,2021,70
680728,2024,69
660634,2021,69
682073,2022,69
621545,2023,69
606149,2021,69
679631,2022,68
641755,2021,68
660829,2021,68
695391,2024,68
665953,2024,67
502202,2021,67
681962,2022,67
663550,2023,67
612434,2021,67
671083,2022,67
692225,2025,67
453268,2021,67
543507,2021,66
621011,2021,66
805373,2024,66
542208,2023,66
592426,2021,66
542947,2021,65
554431,2021,65
641941,2021,65
489334,2021,64
606299,2021,64
676070,2023,64
686475,2025,64
702358,2024,64
691777,2025,63
501625,2021,63
696030,2025,63
542255,2021,63
547004,2021,62
805249,2025,62
608032,2021,62
669288,2021,62
695506,2025,62
608718,2021,61
453343,2021,61
686765,2024,61
613534,2021,61
664850,2021,61
544727,2021,61
572955,2021,61
622268,2021,60
690022,2025,60
682729,2024,60
641793,2021,60
621237,2021,60
676946,2022,59
670280,2021,59
668843,2022,59
607237,2021,59
687529,2024,59
669742,2022,59
641779,2022,59
641360,2021,58
681508,2024,58
670370,2021,58
641829,2021,58
664029,2022,57
572008,2021,57
621345,2021,57
573009,2021,56
592741,2021,56
592390,2021,56
668663,2021,55
571710,2021,55
686554,2024,55
690291,2024,55
668845,2024,55
669326,2024,55
702176,2025,55
459429,2021,55
502210,2021,54
668832,2024,54
621348,2021,54
665052,2024,54
571521,2021,54
467827,2021,53
701305,2024,53
687221,2025,53
695681,2025,53
596056,2021,52
670276,2022,52
446321,2021,52
642020,2022,52
692585,2025,52
691182,2024,51
664854,2021,51
546990,2021,51
642211,2021,51
641401,2021,51
656514,2021,51
608678,2021,51
666906,2023,51
621006,2021,50
677592,2023,50
621002,2021,50
657193,2021,50
609275,2021,50
687515,2025,49
664789,2021,49
807712,2025,49
686452,2023,49
605151,2021,49
455119,2021,49
607572,2021,49
640902,2024,48
608371,2021,48
608723,2021,48
666197,2023,48
666703,2022,48
543339,2021,48
669236,2025,48
663905,2021,48
664199,2021,48
656403,2021,47
680737,2024,47
647315,2021,47
641684,2021,47
600301,2021,47
656484,2023,47
682988,2024,47
672016,2025,47
596825,2021,46
523260,2021,46
622075,2021,46
596112,2021,46
680814,2022,46
607625,2021,45
595465,2021,45
665861,2021,45
592761,2021,45
605177,2021,45
645305,2021,45
692216,2025,44
467092,2021,44
676724,2022,44
669208,2024,44
691785,2025,44
656458,2021,44
687859,2025,44
671286,2024,44
448281,2021,44
572193,2021,43
644433,2021,43
459964,2021,43
669200,2023,43
622503,2021,43
