rank,mlb_player_id,full_name,current_age,primary_position,current_team,highest_level_name,total_milb_pa,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_avg_ops,composite_score,weighted_prospect_score
397,687071,Shane Sasaki,25.270362765229294,CF,,AAA,1319.0,2.1892504672440745,0.007391924410425942,0.017599674608012875,1.8493473515760877,1.186342758215266
398,695342,Colin Davis,26.663928815879533,OF,,AAA,955.0,2.1702086028495553,0.01098279433507224,0.02614951032160057,1.8448206677671966,0.9103581430756751
399,672613,Eliezer Alfonzo,26.04243668720055,C,,AAA,1134.0,2.489884623900003,0.008767087639171245,0.02087387277169218,1.8436240509161483,0.8947360497813637
400,686989,James Free,27.485284052019164,C,,AAA,781.0,1.6513215824737912,0.01359003700219855,0.032357230957615606,1.830444661589666,1.1105619792024162
401,681495,Cade Fergus,25.127994524298426,OF,,AAA,1000.0,1.5961728627780412,0.007902250718219782,0.01881488266242805,1.818059357952545,1.4863454972387022
402,813859,Nick Schwartz,24.588637919233403,C,,AAA,210.0,2.501359861887824,0.0057985918944391856,0.013539351263816248,1.8023232374479279,0.9848400254594436
403,683079,Omar Martinez,24.26009582477755,C,,AAA,1307.0,0.44179644222704106,0.009794412447701248,0.02332002963738394,1.7980535393124994,1.6642390329481416
404,678021,Nicholas Northcut,26.321697467488022,1B,,AAA,1144.0,-1.0703706050138395,0.018739484686521302,0.04720642526538279,1.7628531759299646,0.9183682459241048
405,682679,Dayan Frias,23.288158795345655,3B,,AAA,1813.0,1.8833631529684516,0.0037266967013508696,0.008873087384168735,1.7391890981386644,1.865892644530497
406,682090,Gionti Turner,25.141683778234086,SS,,AAA,632.0,3.814471384221435,0.001018362146488668,0.0024246717773539718,1.6936508890727031,1.2103028134205989
407,814299,Pascanel Ferreras,23.86858316221766,SS,,AA,1024.0,2.163426583825639,0.005130092019373446,0.012214359391221221,1.6749165356156996,0.93031054532314
408,681375,Matt Hogan,25.7056810403833,OF,,AAA,500.0,2.399289162506839,0.005263973816093326,0.013594304041327,1.664813425542669,1.3523088655796052
409,691442,Wilfred Veras,22.89664613278576,OF,,AA,2045.0,0.34860031314149625,0.006564364745738993,0.025037689870807123,1.656949973258955,1.2990368957070688
410,650391,Eloy Jiménez,28.862422997946613,DH,,AAA,312.0,-12.270713548575067,0.058724423160527846,0.13997873204505998,1.6497047433083682,0.998729741463942
411,680519,Mario Camilletti,26.472279260780287,2B,,AAA,1242.0,2.144067091496164,0.007977841642731829,0.02005068563375954,1.647539170176516,1.0795178987408625
412,702333,Haydn McGeary,25.998631074606433,C,,AA,991.0,0.5116969297420131,0.011136892049033559,0.035591573047274706,1.6400969820904512,0.8088046379254112
413,676332,Caleb Knight,29.765913757700204,C,,AAA,391.0,0.6678049162859804,0.023429379923398937,0.05602622693243722,1.5878945614122133,0.8339566768938
414,687521,Eric Brown Jr.,24.802190280629706,SS,,AA,947.0,0.5424426233347317,0.01298193093517327,0.025731859369460163,1.5769232180511443,0.49915249086425356
415,687543,Andrew Jenkins,24.928131416837783,1B,,AAA,982.0,3.683494133558479,0.0005647671544810229,0.0013446837011452928,1.5560404997540271,1.0433730959093404
416,684519,Omar De Los Santos,26.168377823408623,OF,,AAA,1364.0,1.486865816925272,0.008328608072140392,0.01983001921938189,1.5529183701319913,1.2637750252313977
417,694196,Diego Velasquez,22.02053388090349,SS,,AA,1618.0,-2.587056803600055,0.01635626714297931,0.03894349319756976,1.5467056103623964,1.2987975069197797
418,821041,Roldy Brito,18.50239561943874,3B,,A,156.0,2.4952894447149108,0.0008887958188467691,0.002116180521063736,1.5442641896144473,0.27418225855725853
419,668965,Freddy Zamora,26.934976043805612,SS,,AAA,1295.0,0.6708178212575678,0.013298998638960988,0.031664282473716644,1.517500752138781,0.8121456720414478
420,699912,Jose Fernandez,22.04517453798768,SS,,AA,1297.0,0.17682217087021573,0.00810110269932161,0.021014027676812087,1.4928198194680973,0.8732433947902983
421,696281,Wyatt Young,25.842573579739906,SS,,AAA,1870.0,-0.640274950168197,0.01399590126920396,0.0333235744504856,1.482805567363124,1.1738670440741203
422,689822,Matt Rudick,27.26899383983573,OF,,AAA,1156.0,-0.28033100159780305,0.015507886677775815,0.03691833123799757,1.4815632398927676,1.0994711488981892
423,699213,Gleider Figuereo,21.281314168377822,SS,,A+,1422.0,0.7155427116446252,0.0069438979787234045,0.016533090425531916,1.4764883969344615,0.5487777581157446
424,675394,Johnny Olmstead,25.245722108145106,3B,,AAA,1077.0,2.2272258390728426,0.005710290782630894,0.007012704628383851,1.46727835416085,1.2420232659525388
425,701800,Carlos Linarez,23.956194387405887,C,,AAA,434.0,1.6538391774082983,0.0038196498896351017,0.009094404499131193,1.4599790494571263,1.6252102586935817
426,671913,Damiano Palmegiani,25.7056810403833,3B,,AAA,1783.0,-3.351162567419968,0.021401839062541676,0.04670425967271829,1.4558433829582704,1.795896821379678
