rank,prospect_id,name,age,position,organization,level,predicted_fv,predicted_tier,confidence_score,milb_games,model_version
203,9,Chase Call,23.0,CF,Houston Astros,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
204,10,Ben Moore,21.0,SP,Washington Nationals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
205,11,Beau Ankeney,22.0,1B,Detroit Tigers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
206,12,Davis Chastain,21.0,SP,Los Angeles Dodgers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
207,13,Blake Fields,18.0,CF,Arizona Diamondbacks,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
208,14,Mikey Cascino,18.0,SP,Los Angeles Angels,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
209,15,Kaemyn Franklin,19.0,SP,Chicago Cubs,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
210,16,Brent Iredale,22.0,3B,Pittsburgh Pirates,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
211,17,Jared Spencer,22.0,SP,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
212,18,Xavier Mitchell,19.0,SP,Los Angeles Angels,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
213,19,Ryan Reed,21.0,SP,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
214,20,Andrew Shaffner,22.0,SP,Cincinnati Reds,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
215,21,Jake Casey,22.0,CF,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
216,22,Connor Gehr,19.0,SP,Baltimore Orioles,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
217,23,Sam Robertson,21.0,SS,New York Mets,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
218,24,Damian Bravo,22.0,CF,San Francisco Giants,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
219,25,Estevan Moreno,21.0,SS,Seattle Mariners,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
220,26,Peyton Prescott,21.0,SP,New York Mets,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
221,27,Joe Ariola,21.0,SP,Arizona Diamondbacks,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
222,28,Pierce Coppola,22.0,SP,Chicago Cubs,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
