rank,mlb_player_id,full_name,current_age,age_tier,primary_position,current_team,highest_level,total_pa,ops,obp,slg,iso,bb_rate,so_rate,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_ops,age_factor,level_age_factor,combined_age_factor,prospect_value_score
243,803011,Sam Antonacci,22.6694045174538,Premium Prospect,IF,0,AA,607,0.8358414983091997,0.4316309719934102,0.40421052631578946,0.11157894736842106,0.13838550247116968,0.13509060955518945,91.08072487644152,0.20850906095551897,0.6686731986473599,0.6264027106416337,1.439507186858316,0.9017112038361618,110.175798611466
244,699305,Diego Mosquera,21.568788501026695,Premium Prospect,SS,0,A+,607,0.5705791696494722,0.3163097199341021,0.25426944971537,0.034155597722960146,0.09884678747940692,0.18780889621087316,82.65634266886326,0.10320428336079075,0.4,1.167431639999008,1.1396817248459956,1.3305005051138588,109.97430567178677
245,699232,Anderdson Rojas,21.585215605749486,Premium Prospect,2B,0,A+,1339,0.6332798346411598,0.30022404779686335,0.33305578684429643,0.0907577019150708,0.07244212098581031,0.16355489171023152,81.8906646751307,0.09363330843913369,0.44329588424881183,1.1597857786589745,1.137217659137577,1.318928868307611,109.80520523732977
246,703430,Anthony Scull,21.700205338809035,Premium Prospect,OF,0,A+,1008,0.718858123773854,0.3323412698412698,0.3865168539325843,0.12471910112359552,0.06746031746031746,0.21329365079365079,83.41944444444444,0.11274305555555553,0.5032006866416978,1.1076486346270413,1.119969199178645,1.240532354294567,109.63450774277526
247,691645,Jefrey De Los Santos,22.360027378507873,Premium Prospect,SS,0,AA,890,0.6447812138347275,0.3044943820224719,0.34028683181225555,0.13559322033898305,0.1146067415730337,0.28314606741573034,84.16449438202247,0.12205617977528091,0.515824971067782,0.7089211643255275,1.495195071868583,1.0599754312428666,109.45177642194831
248,698937,Aneudis Mordán,21.32785763175907,Premium Prospect,C,0,A+,418,0.6992666944039942,0.3133971291866029,0.3858695652173913,0.16304347826086957,0.11244019138755981,0.2799043062200957,82.5177033492823,0.1014712918660287,0.48948668608279594,1.2855395379171792,1.1758213552361396,1.5115648416834184,109.45051548520541
249,808326,Pablo Guerrero,19.189596167008897,Elite Youth,OF,0,A,107,0.5596878311976106,0.27102803738317754,0.28865979381443296,0.06185567010309276,0.056074766355140186,0.2336448598130841,78.65794392523364,0.05322429906542054,0.4,3.0237055725136703,1.0808264887063654,3.2681010768218206,109.25139727812473
250,805117,Jean Carlos Sio,21.51403148528405,Premium Prospect,IF,0,A+,430,0.7576008408881881,0.37906976744186044,0.3785310734463277,0.1271186440677966,0.12325581395348838,0.19767441860465115,85.64372093023256,0.14054651162790696,0.5303205886217317,1.1932837524801228,1.1478952772073925,1.369764783840248,108.83813277052987
251,800193,Kelvin Hidalgo,20.605065023956193,Elite Youth,SS,0,A,542,0.657390430453161,0.3081180811808118,0.3492723492723493,0.0997920997920998,0.07195571955719557,0.24723247232472326,80.17121771217712,0.07214022140221402,0.4,1.7165140981802531,0.9003542094455854,1.5454706938692837,108.3390192432843
252,805782,Ryan Lasko,23.290896646132786,Standard Prospect,OF,0,AAA,750,0.6866451612903226,0.356,0.33064516129032256,0.0967741935483871,0.13866666666666666,0.248,89.3872,0.18734,0.6179806451612904,0.4885279181068004,1.828275154004107,0.8931634547120162,108.2849842205776
253,806441,Nehomar Ochoa Jr.,20.188911704312115,Elite Youth,OF,0,A,394,0.67585946633911,0.31725888324873097,0.358600583090379,0.13702623906705538,0.09644670050761421,0.29441624365482233,80.54416243654822,0.07680203045685277,0.405515679803466,2.0274054559494545,0.9534137577002052,1.9329562541386673,108.23536635761141
254,691858,Jared Serna,23.353867214236825,Standard Prospect,SS,0,AAA,1198,0.7704586185898898,0.3397328881469115,0.43072573044297835,0.16682375117813386,0.09015025041736227,0.17195325542570952,88.39165275459098,0.1748956594323873,0.6934127567309009,0.47637644536842794,1.8159958932238192,0.8650976684176261,107.88008071625843
255,808267,Jose Monzon,19.890485968514717,Elite Youth,3B,0,A,349,0.5586918157839807,0.3037249283667622,0.25496688741721857,0.04635761589403975,0.12320916905444126,0.22349570200573066,79.9919770773639,0.0698997134670487,0.4,2.284454281597108,0.9914630390143735,2.264951984521666,107.49289982189002
256,700731,Keiner Delgado,21.75770020533881,Premium Prospect,2B,0,A+,895,0.7169337610759146,0.3463687150837989,0.37056504599211565,0.13272010512483576,0.11843575418994413,0.21787709497206703,84.08715083798883,0.12108938547486033,0.5018536327531402,1.0824656785435511,1.1113449691991784,1.2029927861801506,107.07052542673829
257,694186,Shalin Polanco,21.67008898015058,Premium Prospect,OF,0,A+,1085,0.6784629981024668,0.29400921658986173,0.38445378151260506,0.17331932773109246,0.09953917050691244,0.2847926267281106,81.59483870967742,0.08993548387096771,0.47492409867172675,1.1210726662966997,1.124486652977413,1.26063125026844,106.89639490074359
258,807239,Bernard Moon,20.48186173853525,Elite Youth,SS,0,A,454,0.6810483012184596,0.31718061674008813,0.3638676844783715,0.12977099236641218,0.08590308370044053,0.2026431718061674,80.5409691629956,0.07676211453744494,0.40862898073107573,1.8032252397049482,0.9160626283367554,1.6518672525672906,106.84370356459421
259,691191,Jose Salas,22.45311430527036,Premium Prospect,2B,0,AA,1104,0.684663815633167,0.31068840579710144,0.3739754098360656,0.13524590163934427,0.07789855072463768,0.2418478260869565,84.50144927536232,0.12626811594202897,0.5477310525065336,0.6830100383318554,1.478439425051335,1.0097889683756385,106.72890605267831
260,807277,Nick Montgomery,19.917864476386036,Elite Youth,C,0,A,357,0.5233426704014938,0.27170868347338933,0.25163398692810457,0.08169934640522875,0.11764705882352941,0.3333333333333333,78.68571428571428,0.05357142857142855,0.4,2.2595727940613637,0.9879722792607805,2.2323952835044554,106.60660803077381
261,815304,Josh Adamczewski,20.413415468856947,Elite Youth,SS,0,A+,106,0.687937248251007,0.33962264150943394,0.34831460674157305,0.12359550561797755,0.14150943396226415,0.19811320754716982,83.76603773584905,0.11707547169811318,0.48155607377570486,1.8532768995564777,1.312987679671458,2.4333297361373734,106.39626616317099
262,692027,Jose Sanabria,22.940451745379878,Premium Prospect,SS,0,AAA,446,0.5766632642528643,0.3004484304932735,0.27621483375959077,0.05370843989769819,0.09865470852017937,0.23542600896860988,85.98744394618834,0.14484304932735423,0.5189969378275778,0.5620408762727768,1.896611909650924,1.0659734196495898,106.28931828561704
263,807257,Ty Southisene,20.251882272416154,Elite Youth,SS,0,A,389,0.661794589301016,0.3856041131105398,0.2761904761904762,0.03174603174603177,0.15938303341902313,0.14910025706940874,83.33264781491002,0.1116580976863753,0.4,1.9769764810342245,0.9453850102669404,1.8690039308200401,106.17916818677857
264,682679,Dayan Frias,23.288158795345655,Standard Prospect,3B,0,AAA,1813,0.6700272227461168,0.3287369001654716,0.3412903225806452,0.11225806451612905,0.12300055157198014,0.24158852730281302,87.71869829012687,0.16648372862658575,0.6030245004715051,0.48906321778547923,1.8288090349075974,0.8944032313270663,105.56378448562704
265,800463,Jean Joseph,20.673511293634498,Elite Youth,CF,0,A,596,0.6737583892617449,0.313758389261745,0.36,0.1257142857142857,0.06543624161073826,0.21308724832214765,80.4013422818792,0.07501677852348992,0.40425503355704695,1.670156006848605,0.8916273100616016,1.4891567077696475,105.52388873619692
266,803033,Matthew Etzel,23.44147843942505,Standard Prospect,LF,0,AAA,966,0.7698202292581932,0.3612836438923395,0.40853658536585363,0.14268292682926825,0.12732919254658384,0.2349896480331263,89.71055900621118,0.19138198757763972,0.6928382063323738,0.45997121121622964,1.798911704312115,0.8274475955034954,104.69385019363806
267,691621,Jheremy Vargas,22.414784394250514,Premium Prospect,SS,0,AA,1272,0.5787731572555124,0.3113207547169811,0.26745240253853125,0.05711695376246598,0.11713836477987422,0.20125786163522014,84.53584905660378,0.12669811320754717,0.46301852580440994,0.6935626130653648,1.4853388090349073,1.0301754656816473,104.5041092024163
268,703178,Braylin Tavera,20.632443531827516,Elite Youth,OF,0,A,798,0.6007988721804511,0.31954887218045114,0.28125,0.07886904761904762,0.13408521303258145,0.2819548872180451,80.63759398496241,0.07796992481203006,0.4,1.6978184190927517,0.8968634496919916,1.5227112842981287,104.41129714283983
269,702601,Lamar King Jr.,21.83709787816564,Premium Prospect,C,0,A+,564,0.744756071351816,0.3528368794326241,0.39191919191919194,0.11919191919191924,0.09574468085106383,0.2127659574468085,84.3950354609929,0.12493794326241132,0.5213292499462712,1.0486277509070572,1.099435318275154,1.1528983850706593,104.34120335296984
270,692021,Oswaldo Linares,22.4476386036961,Premium Prospect,C,0,AA,603,0.6089578986786498,0.32669983416252074,0.28225806451612906,0.07661290322580647,0.14262023217247097,0.2504145936981758,85.37247097844113,0.13715588723051408,0.48716631894291984,0.6845076614974969,1.4794250513347023,1.0126777822499313,104.21043751857592
271,814409,Seaver King,22.455852156057496,Premium Prospect,SS,0,AA,641,0.6457052793260958,0.30265210608424337,0.34305317324185247,0.09262435677530018,0.06396255850234009,0.20124804992199688,84.06427457098283,0.1208034321372855,0.5165642234608766,0.6822624559319572,1.4779466119096505,1.0083474851777934,104.0437520488258
272,702258,Druw Jones,21.861738535249827,Premium Prospect,OF,0,A+,1147,0.7443382268748383,0.3679163034001744,0.3764219234746639,0.1137538779731127,0.14036617262423715,0.25544899738448124,85.1128160418483,0.13391020052310376,0.5210367588123868,1.038342968200456,1.095739219712526,1.1377531137699557,103.82603872018349
273,698941,Angel Tejada,21.689253935660506,Premium Prospect,SS,0,A+,592,0.6416849893769455,0.28885135135135137,0.35283363802559414,0.11151736745886653,0.04222972972972973,0.21452702702702703,81.34932432432433,0.08686655405405405,0.4491794925638618,1.1125114003704493,1.121611909650924,1.2478060362779233,103.62386159855302
274,698945,Anderson De Los Santos,21.741273100616016,Premium Prospect,SS,0,A+,1139,0.6619466845057818,0.3160667251975417,0.34587995930824006,0.12410986775178023,0.1106233538191396,0.257243195785777,82.64477611940299,0.10305970149253728,0.4633626791540472,1.0896018088839843,1.1138090349075975,1.213608339186643,103.4049658337685
275,806611,Jancel Villarroel,20.722792607802873,Elite Youth,C,0,A+,288,0.6698611111111111,0.3298611111111111,0.34,0.10000000000000003,0.0798611111111111,0.24305555555555555,83.30138888888888,0.11126736111111109,0.4689027777777778,1.63755538961259,1.266581108829569,2.0740967211453514,102.9947150030411
276,701783,Cole Messina,22.403832991101986,Premium Prospect,C,0,AA,444,0.7312077702702703,0.3536036036036036,0.3776041666666667,0.11979166666666669,0.11486486486486487,0.16441441441441443,86.83603603603603,0.15545045045045044,0.5849662162162163,0.6966074708029979,1.4873100616016424,1.036071300312171,102.15970753855551
277,695720,Tommy White,22.60369609856263,Premium Prospect,3B,0,AA,514,0.7337004974212417,0.32684824902723736,0.4068522483940043,0.1434689507494647,0.07392996108949416,0.14591439688715954,85.38054474708171,0.1372568093385214,0.5869603979369934,0.6430849557622719,1.4513347022587266,0.9333315127983032,102.01864705105734
278,694876,Cooper Ingle,23.62217659137577,Standard Prospect,C,0,AAA,987,0.8481133447691274,0.40628166160081053,0.44183168316831684,0.16089108910891087,0.1702127659574468,0.15096251266464034,92.4644376899696,0.22580547112462004,0.7633020102922147,0.42789791142907313,1.763675564681725,0.7546730905658013,101.96829503742589
279,694188,Jesus Galiz,21.804243668720055,Premium Prospect,C,0,A+,600,0.6989642184557439,0.31666666666666665,0.3822975517890772,0.13559322033898305,0.075,0.25666666666666665,82.67333333333333,0.10341666666666664,0.4892749529190207,1.062499434207742,1.1043634496919918,1.1733855404574516,101.80783922098612
280,814504,Dylan Fien,19.967145790554415,Elite Youth,C,0,A,337,0.6297942966353166,0.314540059347181,0.3152542372881356,0.08135593220338985,0.08011869436201781,0.20771513353115728,80.43323442136499,0.0754154302670623,0.4,2.2154670533556753,0.9816889117043122,2.174899440525492,101.71279044213503
281,694183,Cristian Hernandez,21.82067077344285,Premium Prospect,SS,0,A+,1451,0.6873498903974635,0.3363197794624397,0.3510301109350238,0.10459587955625993,0.11509303928325293,0.23225361819434873,83.60882150241213,0.1151102687801516,0.48114492327822445,1.0555408054799604,1.1018993839835727,1.1630997633278926,101.49258803931475
282,682818,Yohendrick Pinango,23.422313483915126,Standard Prospect,LF,0,AAA,1941,0.7192623220264628,0.32715095311695,0.39211136890951276,0.14327146171693736,0.09994848016486348,0.18341061308603812,87.62163833075735,0.1652704791344668,0.6473360898238165,0.4635108925681064,1.8026488706365507,0.8355473870156366,100.85107416692748
283,808119,Yaikel Mijares,19.81930184804928,Elite Youth,2B,0,A,313,0.5500104048082455,0.31629392971246006,0.23371647509578544,0.04980842911877395,0.15335463258785942,0.3354632587859425,80.50479233226838,0.07630990415335463,0.4,2.3504359405626403,1.0005390143737165,2.3517028593191034,100.7389547035087
284,808288,Luis Lameda,19.72347707049966,Elite Youth,SS,0,A,287,0.6211412678036555,0.3623693379790941,0.25877192982456143,0.04824561403508776,0.1916376306620209,0.17770034843205576,82.38466898954704,0.09980836236933797,0.4,2.442276823484499,1.0127566735112936,2.47343215154589,100.47173337940004
285,683494,Euribiel Angeles,23.411362080766597,Standard Prospect,3B,0,AAA,1514,0.7051241346857088,0.32100396301188905,0.38412017167381973,0.1072961373390558,0.05746367239101717,0.11955085865257596,87.24544253632762,0.16056803170409514,0.6346117212171379,0.46554578415702225,1.8047843942505135,0.8402097660557117,100.30475975263347
286,692478,Victor Arias,22.12457221081451,Premium Prospect,CF,0,AA,356,0.8201131036535456,0.37640449438202245,0.44370860927152317,0.17218543046357615,0.10393258426966293,0.21348314606741572,88.07640449438202,0.17095505617977524,0.6560904829228366,0.778934059494982,1.537577002053388,1.1976710959955699,100.04686630698308
287,701785,Kaelen Culpepper,22.77618069815195,Premium Prospect,SS,0,AA,629,0.8229458050753657,0.3672496025437202,0.45569620253164556,0.17540687160940321,0.09697933227344992,0.1669316375198728,87.57837837837837,0.1647297297297297,0.6583566440602926,0.60021204416324,1.4202874743326488,0.8524736482686445,99.57675916284046
288,701394,Zach Ehrhard,22.713210130047912,Premium Prospect,OF,0,AA,629,0.7614842367339593,0.35771065182829886,0.4037735849056604,0.14905660377358493,0.12400635930047695,0.19395866454689983,87.05945945945946,0.15824324324324324,0.6091873893871674,0.6155223315689318,1.431622176591376,0.8811954200613127,99.49276962217017
289,699712,Raylin Heredia,21.911019849418206,Premium Prospect,OF,0,A+,546,0.7608689125082568,0.32234432234432236,0.4385245901639344,0.17418032786885246,0.07142857142857142,0.304029304029304,82.94358974358974,0.10679487179487179,0.5326082387557798,1.0180750282432267,1.0883470225872691,1.1080189257589657,99.29524044510879
290,806981,Luis Almeyda,19.477070499657767,Elite Youth,SS,0,A,204,0.6617917885386199,0.3137254901960784,0.34806629834254144,0.11049723756906077,0.08823529411764706,0.2549019607843137,80.4,0.075,0.4,2.695256448376514,1.0441735112936346,2.814315389538115,99.13626537927153
291,694378,Jacob Gonzalez,23.359342915811087,Standard Prospect,SS,0,AAA,1248,0.6439597689026391,0.30849358974358976,0.33546617915904936,0.10329067641681902,0.0921474358974359,0.1466346153846154,86.47980769230769,0.15099759615384617,0.5795637920123752,0.4753341891012169,1.814928131416838,0.8626973916240095,99.1194537906691
292,692348,Aeverson Arteaga,22.56536618754278,Premium Prospect,SS,0,AA,1679,0.6634913536721847,0.2960095294818344,0.3674818241903503,0.1368142762723067,0.07742703990470517,0.2602739726027397,83.7029184038118,0.1162864800476474,0.5307930829377477,0.6530206838992285,1.4582340862422998,0.9522570202831132,98.68444145230508
293,828599,Lucas Spence,22.69678302532512,Premium Prospect,OF,0,AA,506,0.7337084398976982,0.34782608695652173,0.38588235294117645,0.1576470588235294,0.1383399209486166,0.2490118577075099,86.52173913043478,0.1515217391304348,0.5869667519181586,0.619580148525708,1.4345790554414781,0.8888367042423009,98.4540409901733
294,695780,Jake Fox,22.652977412731005,Premium Prospect,OF,0,AA,1661,0.6965064196993181,0.3383503913305238,0.35815602836879434,0.12553191489361704,0.13184828416616495,0.2119205298013245,86.0062612883805,0.14507826610475616,0.5572051357594545,0.6305322562497251,1.4424640657084191,0.9095201219102812,98.39880583093407
295,800476,John Cruz,20.109514031485283,Elite Youth,RF,0,A,368,0.45846273291925466,0.24728260869565216,0.2111801242236025,0.04968944099378883,0.09239130434782608,0.26902173913043476,77.68913043478261,0.041114130434782584,0.4,2.0928273361628214,0.9635369609856264,2.016516491353969,98.00737979806284
296,684081,Erick Brito,23.37303216974675,Standard Prospect,SS,0,AAA,1441,0.624685959996135,0.31297709923664124,0.31170886075949367,0.07278481012658228,0.08605135322692574,0.16585704371963914,86.75419847328244,0.15442748091603056,0.5622173639965214,0.47273851399037253,1.8122587268993837,0.8567244975204991,97.81438193627788
297,695692,Cooper Kinney,22.69678302532512,Premium Prospect,2B,0,AA,1367,0.7451231406973908,0.3284564740307242,0.4166666666666667,0.15048543689320393,0.08046817849305048,0.2282370153621068,85.4680321872714,0.13835040234089246,0.5960985125579127,0.619580148525708,1.4345790554414781,0.8888367042423009,97.77530143579602
298,814696,Jaron Elkins,20.92539356605065,Elite Youth,OF,0,A,515,0.7633848091918073,0.34951456310679613,0.41387024608501116,0.14988814317673377,0.08737864077669903,0.2970873786407767,81.86019417475728,0.09325242718446602,0.45803088551508436,1.5100822663566569,0.8595123203285419,1.2979343126431933,97.68956823490487
299,694170,Dyan Jorge,22.559890485968516,Premium Prospect,SS,0,AA,954,0.6123626050667137,0.31446540880503143,0.29789719626168226,0.04906542056074767,0.08385744234800839,0.19392033542976939,84.70691823899371,0.12883647798742137,0.489890084053371,0.6544525499758079,1.459219712525667,0.9549900618373881,97.6731564153938
300,675085,Jonathon Long,23.71526351813826,Standard Prospect,1B,0,AAA,1188,0.871890925301156,0.39646464646464646,0.4754262788365095,0.18254764292878634,0.13383838383838384,0.1978114478114478,91.86363636363636,0.21829545454545454,0.7847018327710404,0.4122582080975795,1.7455236139630392,0.7196064372844136,97.62015791678267
301,694182,Armando Cruz,21.727583846680357,Premium Prospect,SS,0,A+,1107,0.5045567903336062,0.24932249322493225,0.25523429710867396,0.05583250249252242,0.06233062330623306,0.17795844625112917,79.46775067750677,0.06334688346883467,0.4,1.095584508013313,1.1158624229979464,1.2225215837107486,97.1510404121965
302,692416,Christian Cerda,22.781656399726216,Premium Prospect,C,0,AA,890,0.747195778967945,0.3865168539325843,0.3606789250353607,0.11881188118811883,0.1842696629213483,0.20224719101123595,88.62651685393259,0.1778314606741573,0.597756623174356,0.598898850006041,1.419301848049281,0.8500182446081631,97.05430942838436
303,703159,Simon Juan,20.238193018480494,Elite Youth,OF,0,A,376,0.6301303034118091,0.2898936170212766,0.34023668639053256,0.11834319526627221,0.07712765957446809,0.29521276595744683,79.42765957446808,0.06284574468085105,0.4,1.9878315065814942,0.9471303901437369,1.882735630368543,97.02681867176221
304,695508,Cameron Cauley,22.6694045174538,Premium Prospect,SS,0,AA,1646,0.7141353329607906,0.3159173754556501,0.3982179575051405,0.16038382453735434,0.10024301336573511,0.28128797083839613,84.78590522478737,0.12982381530984208,0.5713082663686325,0.6264027106416337,1.439507186858316,0.9017112038361618,96.97843292587429
