csv_name,db_name,mlb_player_id,prospect_id
Joe Mack,Joe Mack,691788,8208
Jeferson Quero,Jeferson Quero,691620,8258
Michael Forret,Michael Forret,702650,9012
Khal Stephen,Khal Stephen,701590,8242
Karson Milbrandt,Karson Milbrandt,703596,8613
Christian Oppor,Christian Oppor,803291,8420
George Klassen,George Klassen,691946,8251
John Gil,John Gil,808535,8799
Austin Overn,Austin Overn,702556,8785
Jeral Perez,Jeral Perez,800419,8597
Aidan Smith,Aidan Smith,806223,8697
Ethan Pecko,Ethan Pecko,814490,8416
Hunter Barco,Hunter Barco,682995,8303
Jhostynxon Garcia,Jhostynxon Garcia,691373,8305
Brock Wilken,Brock Wilken,694385,9040
Yoniel Curet,Yoniel Curet,692414,8464
Logan Henderson,Logan Henderson,701656,8259
Jonathan Santucci,Jonathan Santucci,695558,8877
Alejandro Rosario,Alejandro Rosario,691730,8278
Jurrangelo Cijntje,Jurrangelo Cijntje,701388,8234
Hagen Smith,Hagen Smith,696146,8250
Mitch Bratt,Mitch Bratt,683352,8330
Jackson Ferris,Jackson Ferris,701328,8249
Quinn Mathews,Quinn Mathews,687273,8252
Slade Caldwell,Slade Caldwell,815154,8471
Braylon Payne,Braylon Payne,815520,8327
Theo Gillen,Theo Gillen,815394,8352
Mitch Voit,Mitch Voit,702491,8542
Brendan Summerhill,Brendan Summerhill,804911,8726
Jace LaViolette,Jace LaViolette,702593,8548
Kevin Alvarez,Kevin Alvarez,829037,8266
Diego Tornes,Diego Tornes,829053,8285
Joey Oakie,Joey Oakie,815841,8784
Bishop Letson,Bishop Letson,811309,8354
Kevin Defrank,Kevin Defrank,829074,8495
Demetrio Crisantes,Demetrio Crisantes,702679,8356
Tyson Lewis,Tyson Lewis,815653,8398
Blake Burke,Blake Burke,695501,9067
Noah Schultz,Noah Schultz,702273,8191
Kruz Schoolcraft,Kruz Schoolcraft,828244,8373
Trey Gibson,Trey Gibson,694346,8222
Ben Hess,Ben Hess,696292,8372
David Hagaman,David Hagaman,701908,8529
Tre' Morgan,Tre' Morgan,691003,8247
Ching-Hsien Ko,Ching-Hsien Ko,828667,9204
Cameron Cauley,Cameron Cauley,695508,8511
Marco Dinges,Marco Dinges,701392,8812
David Shields,David Shields,815789,8596
Adam Serwinowski,Adam Serwinowski,703445,8349
Kane Kepley,Kane Kepley,823807,8677
T.J. Nichols,T.J. Nichols,694375,9231
Alex Freeland,Alex Freeland,690976,8223
Felnin Celesten,Felnin Celesten,806958,8244
JD Dix,JD Dix,807267,8608
Dauri Fernandez,Dauri Fernandez,821171,8698
Robert Gasser,Robert Gasser,688107,8394
Brailer Guerrero,Brailer Guerrero,806967,8379
Dorian Soto,Dorian Soto,829039,8393
Eduardo Tait,Eduardo Tait,806953,8300
Druw Jones,Druw Jones,702258,8781
Gabriel Davalillo,Gabriel Davalillo,829058,8737
Quentin Young,Quentin Young,815839,8695
Josh Owens,Josh Owens,831384,8536
Johnny King,Johnny King,803516,8592
Jose Urbina,Jose Urbina,808250,8612
Alex Clemmey,Alex Clemmey,806046,8472
Josh Adamczewski,Josh Adamczewski,815304,8523
Jefferson Rojas,Jefferson Rojas,800473,8224
Tai Peete,Tai Peete,806191,8430
Cole Carrigg,Cole Carrigg,694249,8426
Jacob Melton,Jacob Melton,689200,8265
Nestor German,Nestor German,815148,8388
Eric Bitonti,Eric Bitonti,800724,9095
Levi Wells,Levi Wells,694370,8926
Connor Prielipp,Connor Prielipp,687570,8254
Jhonny Level,Jhonny Level,815929,8358
Kash Mayfield,Kash Mayfield,824026,8299
Gavin Kilen,Gavin Kilen,702264,8310
Dasan Hill,Dasan Hill,815598,8348
Alex Lodise,Alex Lodise,822676,8572
Dante Nori,Dante Nori,807276,8487
Kemp Alderman,Kemp Alderman,694580,9013
Jack Wenninger,Jack Wenninger,811307,8569
Kendry Rojas,Kendry Rojas,696070,8460
Winston Santos,Winston Santos,692437,8366
Bryce Cunningham,Bryce Cunningham,701480,8346
Tommy Troy,Tommy Troy,694371,8406
Marek Houston,Marek Houston,701339,8518
Cristian Mena,Cristian Mena,691441,8382
Christian Zazueta,Christian Zazueta,800537,8434
Kohl Drake,Kohl Drake,684442,8309
Kyle Lodise,Kyle Lodise,827517,8651
Zac Veen,Zac Veen,691728,8559
Noble Meyer,Noble Meyer,800611,8325
Yhoiker Fajardo,Yhoiker Fajardo,823369,9096
Dylan Jordan,Dylan Jordan,813335,8623
Zach Maxwell,Zach Maxwell,687209,8479
Kelvis Salcedo,Kelvis Salcedo,808383,8746
Chase Harlan,Chase Harlan,815792,9224
Kellon Lindsey,Kellon Lindsey,813916,8585
Wehiwa Aloy,Wehiwa Aloy,814450,8288
Zach Cole,Zach Cole,805904,8920
Termarr Johnson,Termarr Johnson,702261,8390
RJ Schreck,RJ Schreck,702302,8428
Aroon Escobar,Aroon Escobar,800169,8337
Yorger Bautista,Yorger Bautista,829045,8459
Rhett Lowder,Rhett Lowder,695076,8248
AJ Russell,AJ Russell,805706,8614
Riley Quick,Riley Quick,804981,8636
Patrick Forbes,Patrick Forbes,804467,8500
Blade Tidwell,Blade Tidwell,694918,8284
Zach Ehrhard,Zach Ehrhard,701394,9034
David Davalillo,David Davalillo,699314,8341
Brandon Winokur,Brandon Winokur,806263,8663
Tyson Neighbors,Tyson Neighbors,695695,9327
Khadim Diaw,Khadim Diaw,813715,9008
Daniel Eagen,Daniel Eagen,811666,9424
Chase Hampton,Chase Hampton,694633,8316
Wellington Aracena,Wellington Aracena,800286,8550
Trey Gregory-Alford,Trey Gregory-Alford,807281,8274
AJ Blubaugh,AJ Blubaugh,805123,8395
Kahlil Watson,Kahlil Watson,696135,8492
Juan Brito,Juan Brito,682877,8435
Nathan Church,Nathan Church,701675,9261
Jared Thomas,Jared Thomas,703606,8484
Jaison Chourio,Jaison Chourio,702693,8409
Yairo Padilla,Yairo Padilla,821107,8376
Nick Becker,Nick Becker,829306,8499
Tate Southisene,Tate Southisene,816111,8424
Brandon Compton,Brandon Compton,703680,9093
Cam Cannarella,Cam Cannarella,703448,8466
Ethan Petry,Ethan Petry,701337,8983
Cam Leiter,Cam Leiter,804942,9141
Caden Bodine,Caden Bodine,805207,8465
Andrew Salas,Andrew Salas,829035,8389
Cris Rodriguez,Cris Rodriguez,829038,8392
Gabriel Gonzalez,Gabriel Gonzalez,694224,8383
Edgar Montero,Edgar Montero,815911,8599
Hendry Mendez,Hendry Mendez,694230,9031
Luke Adams,Luke Adams,702726,8759
Kayson Cunningham,Kayson Cunningham,815617,8245
Leonardo Bernal,Leonardo Bernal,699024,8209
Chris Suero,Chris Suero,801523,8652
Hayden Mullins,Hayden Mullins,683093,9016
Jacob Bresnahan,Jacob Bresnahan,815298,8817
Wei-En Lin,Wei-En Lin,827734,8530
Jimmy Crooks,Jimmy Crooks,699625,8246
Pedro Ramirez,Pedro Ramirez,699393,9019
Hao-Yu Lee,Hao-Yu Lee,701678,8455
Edwin Arroyo,Edwin Arroyo,695490,8315
Trevor Harrison,Trevor Harrison,807314,8755
Ryan Johnson,Ryan Johnson,696270,8476
Kenya Huggins,Kenya Huggins,695761,8505
Miguel Mendez,Miguel Mendez,700280,8272
Coleman Crow,Coleman Crow,689441,8645
Thomas Harrington,Thomas Harrington,802419,8340
Jake Bloss,Jake Bloss,814005,8262
Anthony Eyanson,Anthony Eyanson,809254,8674
Henry Godbout,Henry Godbout,804995,8562
Tink Hence,Tink Hence,693311,8256
Yohendrick Pinango,Yohendrick Pinango,682818,9122
Roc Riggio,Roc Riggio,691792,8363
Charles McAdoo,Charles McAdoo,807727,9097
Juan Valera,Juan Valera,813536,8414
Liomar Martinez,Liomar Martinez,801737,9430
Santiago Castellanos,Santiago Castellanos,829764,9230
Tyson Hardin,Tyson Hardin,824620,8673
Brandon Clarke,Brandon Clarke,700251,8255
Chase Petty,Chase Petty,695534,8221
Juaron Watts-Brown,Juaron Watts-Brown,695033,9170
Kendall George,Kendall George,806077,8851
Rafael Flores,Rafael Flores,804668,9014
Nathan Flewelling,Nathan Flewelling,807083,9115
Bryce Meccage,Bryce Meccage,815501,8616
Ethan Salas,Ethan Salas,806956,8218
Thayron Liranzo,Thayron Liranzo,699073,8210
Luke Stevenson,Luke Stevenson,806233,8552
Ramon Ramirez,Ramon Ramirez,808675,8369
Enrique Jimenez,Enrique Jimenez,806992,9331
Brycen Mautz,Brycen Mautz,802408,8849
Henry Lalane,Henry Lalane,700649,8423
Charlee Soto,Charlee Soto,805792,8323
Marlon Nieves,Marlon Nieves,812363,9114
Alfonsin Rosario,Alfonsin Rosario,806210,9035
Mason Neville,Mason Neville,702563,8934
Max Belyeu,Max Belyeu,803284,8968
George Wolkow,George Wolkow,805804,8446
Esmil Valencia,Esmil Valencia,806982,9118
Bradgley Rodriguez,Bradgley Rodriguez,699134,8402
Kyle DeBarge,Kyle DeBarge,814414,8782
Marconi German,Marconi German,829699,8929
Elorky Rodriguez,Elorky Rodriguez,829069,9054
Juan Cabada,Juan Cabada,829040,8760
Aaron Walton,Aaron Walton,830239,9190
Marcus Phillips,Marcus Phillips,815071,8353
Lucas Braun,Lucas Braun,814351,8387
Cade Obermueller,Cade Obermueller,805261,8772
Keyner Martinez,Keyner Martinez,815212,9045
Sterlin Thompson,Sterlin Thompson,694514,8297
Braden Nett,Braden Nett,804556,8478
Will Watson,Will Watson,814492,8504
Nolan Schubart,Nolan Schubart,702278,9387
Tanner Franklin,Tanner Franklin,815119,9280
LuJames Groover,LuJames Groover,694410,8290
Miguel Bleis,Miguel Bleis,694194,8719
Yophery Rodriguez,Yophery Rodriguez,806983,8917
Robert Calaz,Robert Calaz,806978,8400
Dakota Jordan,Dakota Jordan,702607,8473
Luis Cova,Luis Cova,815909,8641
