prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,versatility_future,pitch_sel_future,bat_ctrl_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,power_speed_number,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change
8660,2022,Eddinson Paulino,3B,sa3009538,0,Bench/Reserve,40,45.0,45.0,50.0,50.0,45.0,,,,,15.0,15.0,0.0,15.0,,,60.0,1,133.0,113.0,0.0,5.0,0.4738496240601503,0.5389548872180451,0.336283185840708,0.2123893805309734,0.7142857142857143,0.1578947368421052,0.112781954887218,0.0,0,0,0,1,18.0,0,0.0,0.0,0.0
9270,2022,Eduardo Garcia,SS,sa3008751,0,Bench/Reserve,40,35.0,45.0,55.0,40.0,60.0,,,,,5.0,20.0,0.0,15.0,1.0,2.0,60.0,3,192.0,168.0,4.0,3.0,0.3865625,0.558890625,0.2678571428571428,0.2023809523809523,0.2909090909090909,0.2864583333333333,0.0833333333333333,3.4285714285714284,0,0,0,2,18.0,0,0.0,0.0,0.0
8315,2022,Edwin Arroyo,SS,sa3017626,0,Bench/Reserve,40,40.0,50.0,50.0,50.0,50.0,,,,,20.0,25.0,0.0,10.0,,,50.0,1,86.0,71.0,2.0,4.0,0.324406976744186,0.2331744186046511,0.2112676056338028,0.1126760563380281,0.3846153846153846,0.3023255813953488,0.1162790697674418,2.6666666666666665,0,0,0,1,17.0,0,0.0,0.0,0.0
8216,2022,Emmanuel Rodriguez,CF,sa3014693,0,Bench/Reserve,40,40.0,55.0,55.0,50.0,55.0,,,,,20.0,30.0,0.0,25.0,,,50.0,2,153.0,126.0,10.0,9.0,0.3793398692810457,0.4867450980392156,0.2142857142857142,0.3095238095238095,0.4107142857142857,0.3660130718954248,0.1503267973856209,9.473684210526317,0,0,0,1,18.0,0,0.0,0.0,0.0
8383,2022,Gabriel Gonzalez,RF,sa3015723,0,Bench/Reserve,40,50.0,50.0,55.0,30.0,50.0,,,,,25.0,30.0,-10.0,20.0,-1.0,,50.0,1,221.0,188.0,7.0,9.0,0.399366515837104,0.511366515837104,0.2872340425531915,0.2340425531914893,0.5833333333333334,0.1628959276018099,0.0950226244343891,7.875,0,0,0,1,17.0,0,0.0,0.0,0.0
8689,2022,Gage Workman,3B,27573,0,Bench/Reserve,40,35.0,50.0,55.0,50.0,55.0,,,,,5.0,20.0,0.0,10.0,2.0,1.0,55.0,3,513.0,452.0,12.0,31.0,0.2976666666666666,0.3988615984405458,0.245575221238938,0.1880530973451327,0.3375796178343949,0.3060428849902534,0.1033138401559454,17.302325581395348,0,0,1,3,21.0,0,0.0,0.0,0.0
8455,2022,Hao-Yu Lee,2B,sa3017863,0,Bench/Reserve,40,55.0,50.0,55.0,30.0,40.0,,,,,30.0,25.0,-10.0,10.0,-1.0,,50.0,2,25.0,22.0,1.0,0.0,0.31328,0.44164,0.3636363636363636,0.4090909090909091,0.6,0.2,0.12,0.0,0,0,0,1,18.0,0,0.0,0.0,0.0
9031,2022,Hendry Mendez,LF,sa3015727,0,Bench/Reserve,40,60.0,40.0,50.0,50.0,50.0,,,,,35.0,20.0,0.0,10.0,-1.0,,,2,138.0,117.0,1.0,3.0,0.4313985507246376,0.6037173913043478,0.3162393162393162,0.1538461538461538,1.4166666666666667,0.0869565217391304,0.1231884057971014,1.5,0,0,0,1,17.0,0,0.0,0.0,0.0
8265,2022,Jacob Melton,CF,31661,0,Bench/Reserve,40,40.0,50.0,60.0,60.0,50.0,,,,,10.0,20.0,0.0,10.0,1.0,1.0,40.0,2,,,,,,,,,,,,0.0,0,0,0,1,20.0,0,0.0,0.0,0.0
9129,2022,Jadiel Sanchez,RF,sa3011629,0,Bench/Reserve,40,50.0,40.0,45.0,50.0,55.0,,,,,20.0,10.0,0.0,25.0,1.0,,55.0,1,,,,,,,,,,,,0.0,0,0,0,1,,0,0.0,0.0,0.0
8409,2022,Jaison Chourio,CF,sa3018399,0,Bench/Reserve,40,55.0,45.0,45.0,50.0,50.0,,,,,30.0,25.0,5.0,20.0,1.0,1.0,50.0,3,,,,,,,,,,,,0.0,0,0,0,1,16.0,0,0.0,0.0,0.0
9131,2022,Jay Allen II,CF,sa3017403,0,Bench/Reserve,40,40.0,55.0,60.0,55.0,50.0,,,,,20.0,35.0,0.0,10.0,1.0,1.0,50.0,2,75.0,61.0,3.0,14.0,0.4692,0.6077466666666665,0.3278688524590163,0.2295081967213114,0.6666666666666666,0.16,0.1066666666666666,4.941176470588236,0,0,0,1,18.0,0,0.0,0.0,0.0
8208,2022,Joe Mack,C,sa3017374,0,Bench/Reserve,40,45.0,50.0,60.0,40.0,50.0,,,,,25.0,30.0,-5.0,20.0,1.0,1.0,60.0,2,75.0,53.0,1.0,0.0,0.3674666666666666,0.1394666666666666,0.1320754716981132,0.0754716981132075,0.9090909090909092,0.2933333333333333,0.2666666666666666,0.0,0,0,0,1,18.0,0,0.0,0.0,0.0
