prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,fb_future,sl_future,cb_future,ch_future,cmd_future,fb_upside,cmd_upside,velocity_sits_low,velocity_sits_high,velocity_tops,velocity_avg,plus_pitch_count,frame_grade,athleticism_grade,arm_grade,delivery_grade,has_tj_surgery,total_ip,era,whip,k_per_9,bb_per_9,k_bb_ratio,total_k,total_bb,total_hr_allowed,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,fb_change,cmd_change,velo_change
8628,2022,Michael Mercado,RP,23223,0,Bench,40,60.0,55.0,50.0,45.0,50.0,0.0,5.0,93.0,97.0,99.0,95.0000000000000000,2,2.0,,,1.0,0,68.80000000000001,5.494186046511627,1.3226744186046508,,3.0087209302325575,,,23.0,16.0,0,0,1,3,22,0,0.0,0.0,0.0
8702,2022,Michael Morales,SP,sa3017783,0,Bench,40,50.0,,55.0,50.0,50.0,20.0,30.0,88.0,92.0,94.0,90.0000000000000000,1,1.0,,,1.0,0,1.0,18.0,3.0,,9.0,,,1.0,0.0,0,0,0,1,18,0,0.0,0.0,0.0
8330,2022,Mitch Bratt,SP,sa3017719,0,Bench,40,50.0,50.0,50.0,55.0,45.0,10.0,25.0,90.0,93.0,94.0,91.5000000000000000,1,,,,,0,6.0,0.0,0.6666666666666666,,0.0,,,0.0,0.0,0,0,0,1,17,0,0.0,0.0,0.0
8533,2022,Nick Frasso,SP,sa3014492,0,Bench,40,55.0,,45.0,50.0,50.0,10.0,20.0,91.0,93.0,95.0,92.0000000000000000,1,1.0,-1.0,,1.0,1,5.0,0.0,1.0,,3.6,,,2.0,0.0,0,0,0,2,22,0,0.0,0.0,0.0
8936,2022,Peter Heubeck,DH,sa3017936,0,Bench,40,60.0,55.0,55.0,50.0,40.0,20.0,20.0,91.0,94.0,96.0,92.5000000000000000,3,1.0,1.0,,1.0,0,4.0,0.0,0.75,,4.5,,,2.0,0.0,0,0,0,1,18,0,0.0,0.0,0.0
9266,2022,Po-Yu Chen,SP,sa3014699,0,Bench,40,40.0,,50.0,,60.0,10.0,25.0,91.0,92.0,93.0,91.5000000000000000,0,,1.0,,,0,41.3,2.6150121065375305,1.089588377723971,,2.6150121065375305,,,12.0,2.0,0,0,0,2,19,0,0.0,0.0,0.0
8581,2022,Reggie Crawford,DH,sa3020457,0,Bench,40,70.0,55.0,,,35.0,0.0,5.0,93.0,99.0,102.0,96.0000000000000000,2,,,,-2.0,1,,,,,,,,,,0,0,0,1,20,0,0.0,0.0,0.0
8394,2022,Robert Gasser,SP,29812,0,Bench,40,40.0,60.0,,50.0,55.0,0.0,20.0,90.0,93.0,96.0,91.5000000000000000,1,,1.0,,1.0,0,15.0,1.2,0.8666666666666667,,1.2,,,2.0,1.0,0,0,0,2,22,0,0.0,0.0,0.0
9376,2022,Ronan Kopp,DH,sa3017751,0,Bench,40,60.0,60.0,,40.0,30.0,0.0,10.0,95.0,97.0,99.0,96.0000000000000000,2,1.0,-1.0,,-1.0,0,2.0,0.0,1.5,,4.5,,,1.0,0.0,0,0,0,1,18,0,0.0,0.0,0.0
8826,2022,Royber Salinas,RP,sa3009243,0,Bench,40,70.0,,60.0,50.0,35.0,0.0,5.0,93.0,95.0,98.0,94.0000000000000000,2,-2.0,-2.0,,-1.0,0,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0
8665,2022,Sem Robberse,RP,sa3011735,0,Bench,40,50.0,55.0,55.0,50.0,50.0,5.0,20.0,88.0,81.0,93.0,84.5000000000000000,2,2.0,1.0,,1.0,0,86.1,4.494773519163763,1.4285714285714286,,3.97212543554007,,,38.0,7.0,0,0,1,3,19,0,0.0,0.0,0.0
8603,2022,Seth Johnson,DH,26020,0,Bench,40,60.0,60.0,50.0,45.0,50.0,5.0,20.0,92.0,97.0,99.0,94.5000000000000000,2,,1.0,,1.0,0,90.4,2.986725663716814,1.3163716814159292,,3.285398230088495,,,33.0,7.0,0,0,0,2,22,0,0.0,0.0,0.0
